id,set_id,question_text,question_image,option_a_text,option_a_image,option_b_text,option_b_image,option_c_text,option_c_image,option_d_text,option_d_image,correct_option,answer_image,marks,negative_marks,created_at
362cedfe-6600-46d6-9da0-186da3a3d688,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following elements of electrical engineering cannot be analyzed using Ohm’s law?,,Capacitors,,Inductors,,Transistors,,Resistance,,C,,4,1,2026-03-10 09:51:20
7c06cd03-adb5-418a-9101-f3de25199592,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following is a correct representation of peak value in an AC Circuit?,,RMS value/Peak factor,,RMS value*Form factor,,RMS value/Form factor,,RMS value*Peak factor,,D,,4,1,2026-03-10 09:53:16
3ec08f42-e4d2-4e6b-908b-3a25eaf6f0d8,52dd829d-5aff-440e-9057-38c6fee4ae3c,How many cycles will an AC signal make in 2 seconds if its frequency is 100 Hz?,,50,,100,,150,,200,,D,,4,1,2026-03-10 09:54:26
e7e3bc9f-fe34-4ad5-b178-f6346ae3d5fe,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following is correct about the power consumed by R1 and R2 connected in series if the value of R1 is greater than R2?,,R1 will consume more power,,R2 will consume more power,,R1 and R2 will consume the same power,,The relationship between the power consumed cannot be established,,A,,4,1,2026-03-10 09:56:19
054b021b-8a63-4387-9640-db67ffe7e708,52dd829d-5aff-440e-9057-38c6fee4ae3c,What is the function of an inductor?,,Makes the change in current,,Allows the constant current,,Oppose the change in current,,Allows the change in current,,C,,4,1,2026-03-10 10:00:36
33d7e172-2b9a-4753-87d0-4686d901c683,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following is an impurity added in a semiconductor ,,Indium,,Gallium,,Boron,,Antimony,,D,,4,1,2026-03-10 10:04:34
7874a613-1032-4972-b9af-e24d454ad08e,52dd829d-5aff-440e-9057-38c6fee4ae3c,"n a given semiconductor at T = 300K, the electron concentration varies linearly from n = 1012 cm−3 to n = 1016 cm−3 over the distance from x = 0 to x = 3 μm and Dn = 35 cm2/s. What is the diffusion current density?",,187 A/m3,,211 A/m3,,170 A/m3,,145 A/m,,A,,4,1,2026-03-10 10:08:31
5b8a94f8-0e60-4bec-9447-cc07e82b9c28,52dd829d-5aff-440e-9057-38c6fee4ae3c,What type of device is a diode?,,Isolated,,inappropriate,,Unidirectional,,Bidirectional,,C,,4,1,2026-03-10 10:09:39
177f74fe-ca33-4cb7-b137-64786153e6d7,52dd829d-5aff-440e-9057-38c6fee4ae3c,equivalent of the decimal What is the binary number 368?,,101110000,,110110000,,111010000,,111100000,,A,,4,1,2026-03-10 10:10:54
ea2b7afd-f466-403e-9a93-328590e17035,52dd829d-5aff-440e-9057-38c6fee4ae3c,How many Flip-Flops are required for mod–16 counter?,,5,,6,,3,,4,,D,,4,1,2026-03-10 10:11:50
82e3b66e-c4b1-43a6-8d06-8715d556b506,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of  the following is the fastest logic,,TTL,,ECL,,CMOS,,LSI,,B,,4,1,2026-03-10 10:12:53
e953dcb8-2240-4ce0-b293-68b85d90ba65,52dd829d-5aff-440e-9057-38c6fee4ae3c,"In a JK Flip-Flop, toggle means",,Set Q = 1 and Q = 0,,Set Q = 0 and Q = 1,,Change the output to the opposite state,,No change in output,,C,,4,1,2026-03-10 10:14:32
da1b8481-ccb1-4d2b-9708-d2f33ec45cad,52dd829d-5aff-440e-9057-38c6fee4ae3c,"For Amplitude Modulation, Emitter modulator ________ ",,Operates in class C mode,,Has a low efficienc  y ,,Output power is high ,,Operates in class B mode,,B,,4,1,2026-03-10 10:16:39
5a27146c-52af-4bc4-a892-d303e697c662,52dd829d-5aff-440e-9057-38c6fee4ae3c,The minimum channel Bandwidth is used by which modulation technique?,,VSB,,SSB-SC ,,DSB-SC ,,AM,,B,,4,1,2026-03-10 10:18:08
498a1b5d-8119-46eb-b1fe-f8cd3f267274,52dd829d-5aff-440e-9057-38c6fee4ae3c,AM waves is represented by which equation? ,,[1 + m(t)].c(t) ,,[1 – m(t)].c(t),,[1 + m(t)].2c(t) ,,[1 + 2m(t)].c(t),,A,,4,1,2026-03-10 10:19:46
07bc1e91-885f-495d-b041-3a77cd33b2a4,52dd829d-5aff-440e-9057-38c6fee4ae3c,Envelope Detector is a/an ________ ,,Coherent detector ,,Asynchronous Detector,,Synchronous Detector ,,Product Demodulator,,B,,4,1,2026-03-10 10:20:48
4053ab3d-fd9a-49b2-b9af-94731df3f5b9,52dd829d-5aff-440e-9057-38c6fee4ae3c,______ architecture is used to design VLSI,,system on a device,,single open circuit,,system on a chip,,system on a circuit,,C,,4,1,2026-03-10 10:22:01
752e7636-0b18-476e-b7f4-b907d6395d97,52dd829d-5aff-440e-9057-38c6fee4ae3c,"What is the design flow of VLSI system?
a).architecture design
b). market requirement
c). logic design
d). HDL coding
",,ii-i-iii-iv,,iv-i-iii-ii,,iv-i-iii-ii,,i-ii-iii-iv,,A,,4,1,2026-03-10 10:25:26
430b6645-768b-4dba-b97c-cdeb7cc17c1d,52dd829d-5aff-440e-9057-38c6fee4ae3c,______ is used in logic design of VLSI.,,LIFO,,FIFO,,FILO,,LILO,,B,,4,1,2026-03-10 10:26:24
58d9283f-448b-4bd6-87ba-834f8e1e17fe,52dd829d-5aff-440e-9057-38c6fee4ae3c,Intel 8085 is a ______ bit microprocessor,,4 bit,,8 bit	,,16 bit,,32 bit,,B,,4,1,2026-03-10 10:30:56
7a72d64d-42dd-4e10-b74c-d2fa25849dec,52dd829d-5aff-440e-9057-38c6fee4ae3c,______ memory locations can be addressed directly by Intel 8085. ,,34 K ,,44K,,54 K,,64 K,,D,,4,1,2026-03-10 10:31:58
d70c22a4-1f64-410f-9f06-9ee6f270c9a7,52dd829d-5aff-440e-9057-38c6fee4ae3c,"The contents of registers A and B after execution of following instructions are..	
 XRA A
 MVI B, 4AH
 SUI 4FH
 ANA B 
HLT
",,"05,4A",,"4F, 00",,"B1, 4A",,"00,4A",,D,,4,1,2026-03-10 10:33:27
ce1378fb-6f7a-400a-a64f-503b3eb2651c,52dd829d-5aff-440e-9057-38c6fee4ae3c,"The loop will be executed after the following instructions… 	
XRA A
 LXI B, 0007H
 LOOP: DCX B
 JNZ LOOP
",,1 time,,8 times,,7times ,,infinite times,,A,,4,1,2026-03-10 10:34:30
b80168c6-0c6f-4166-b30b-3074bfa4923e,52dd829d-5aff-440e-9057-38c6fee4ae3c,After the execution of XRA A instruction,,CY flag set ,,CY flag is reset ,,Z flag is set ,,Z flag is reset,,B,,4,1,2026-03-10 10:35:37
1fc0dd44-d4bb-4e54-9c66-95c1e572eefa,52dd829d-5aff-440e-9057-38c6fee4ae3c,What is the shape of isotropic radiation when observed in 2D?,,Doughnut shaped,,Figure of Eight,,Spherical,,Circle,,D,,4,1,2026-03-10 10:36:28
c033a26c-b88a-44b5-a61f-6d9c691f8265,52dd829d-5aff-440e-9057-38c6fee4ae3c,"Radiation patterns can be represented in terms of _______ types.

",,Field patterns,,Power patterns,,Both a and b,,Direction pattern,,C,,4,1,2026-03-10 10:37:54
6a9e9194-3367-423a-9dbc-72a437e294cd,52dd829d-5aff-440e-9057-38c6fee4ae3c,A 3-dimensional radiation pattern graph contains how many coordinates?,,3,,4,,2,,1,,A,,4,1,2026-03-10 10:39:21
3039f834-cbc3-4aec-acd5-d4ec67abc9f0,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following statement is true related to fan beam pattern?	,,It is a sharp directional pencil shaped pattern,,It is a fan shaped beam pattern,,It is a non uniform beam pattern,,It is a uni-directional beam pattern,,B,,4,1,2026-03-10 10:40:46
449d60d2-9d42-4f0a-ab01-66b0e906dc68,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following is the unit of beam area?,,Watts,,Hour,,celsius,,Degrees,,D,,4,1,2026-03-10 10:43:06
8f1b32cc-277d-459a-b477-5b41b47a4347,52dd829d-5aff-440e-9057-38c6fee4ae3c,What is the gain factor of an isotropic radiator in all directions?	,,1,,0,,Infinity,,0db,,A,,4,1,2026-03-10 10:43:43
d8579778-9894-4357-a7e3-b99e12654523,52dd829d-5aff-440e-9057-38c6fee4ae3c,An isotropic radiation is __________.,,It radiates uniformly in all direction,,It is a point source of radiation,,It has a uniform intensity,,All the above,,D,,4,1,2026-03-10 10:44:56
ff10ca59-0544-4193-ba70-a20f52eeb97a,52dd829d-5aff-440e-9057-38c6fee4ae3c,Which of the following is true regarding circular polarization?,,It is polarized circularly,,It is linearly polarized,,It is horizontally polarized,,None of the above,,A,,4,1,2026-03-10 10:45:29
be498929-9180-452e-abf3-b5b7ef2f9ccc,52dd829d-5aff-440e-9057-38c6fee4ae3c,"Which of the following is the frequency of horizontal polarization?

",,1 GHz,,10 GHz,,15 GHz,,20 GHz,,B,,4,1,2026-03-11 04:26:54
589570d4-3058-433e-8f6f-8dba51ada4c3,52dd829d-5aff-440e-9057-38c6fee4ae3c,An example of the vertically polarized wave is ________.,,GPS,,Radio wave,,TV signals	,,Mobile communication signals,,A,,4,1,2026-03-11 04:27:40
b304f959-e902-4588-8df0-16d1c2ae5d5a,52dd829d-5aff-440e-9057-38c6fee4ae3c,Half power beam width HPBW is expressed in terms of _______.,,Radians,,Degrees,,Centimeters,,Both a and b,,D,,4,1,2026-03-11 04:29:03
8b33484b-d6b5-43e8-8f28-a1a0a71a9c68,52dd829d-5aff-440e-9057-38c6fee4ae3c,What is the formula of first null beam width?,,FNBW = 2 HPBW,,FNBW = 3 HPBW,,FNBW = HPBW,,FNBW = 5 HPBW,,A,,4,1,2026-03-11 04:29:47
e3be5a57-440b-4089-b078-88949a87e235,52dd829d-5aff-440e-9057-38c6fee4ae3c,If antenna properties do not change with the operation it is a ______ property.	,,Reciprocity,,Directivity,,Polarization,,Magnetization,,A,,4,1,2026-03-11 04:31:39
9761e33e-9d7d-4847-a05c-3602351d1651,52dd829d-5aff-440e-9057-38c6fee4ae3c,An electromagnetic wave has how many fields _______.,,2,,3,,4,,5,,A,,4,1,2026-03-11 04:32:31
c5a2a6b8-028c-4902-a968-4cfa541b9c77,52dd829d-5aff-440e-9057-38c6fee4ae3c,Magnetic field in EM wave is plotted on ______ axis,,X-axis,,Y-axis,,Z-axis,,Either a or b,,D,,4,1,2026-03-11 04:33:33
e436990d-9ab7-49d8-9038-936e5fc69784,52dd829d-5aff-440e-9057-38c6fee4ae3c,The force between two electric charges is explained by,,Ohm's law,,Coulomb's law,,Faraday's law,,Ampere's law,,B,,4,1,2026-03-11 04:37:37
